Date,Hour,DryBulb,DewPnt,WetBulb,Humidity,ElecPrice,SYSLoad
1/1/06,0.5,23.9,21.65,22.4,87.5,19.67,8013.27833
1/1/06,1,23.9,21.7,22.4,88,18.56,7726.89167
1/1/06,1.5,23.8,21.65,22.35,88,19.09,7372.85833
1/1/06,2,23.7,21.6,22.3,88,17.4,7071.83333
1/1/06,2.5,23.7,21.6,22.3,88,17,6865.44
1/1/06,3,23.7,21.6,22.3,88,17,6685.92667
1/1/06,3.5,23.6,21.65,22.3,89,17,6548.62833
1/1/06,4,23.5,21.7,22.3,90,16.92,6487.83667
1/1/06,4.5,23.5,21.7,22.3,90,15.2,6449.17833
1/1/06,5,23.5,21.7,22.3,90,14.99,6388.27833
1/1/06,5.5,23.75,21.7,22.4,88.5,15.08,6395.48
1/1/06,6,24,21.7,22.5,87,15.16,6494.33333
1/1/06,6.5,24.7,21.75,22.75,83.99999999,14.35,6715.20167
1/1/06,7,25.40000001,21.8,23,80.99999996,15.25,7062.48
1/1/06,7.5,27.35,22.05,23.75,73.5,15.74,7532.11667
1/1/06,8,29.3,22.3,24.5,66,16.46,8037.86833
1/1/06,8.5,32.15000001,18.84999999,23.6,48.49999995,16.95,8623.735
1/1/06,9,35,15.4,22.7,31,19.09,9169.365
1/1/06,9.5,36.65,14.5,22.85,26.99999999,24,9600.79
1/1/06,10,38.3,13.6,23,22.99999999,29.85,10005.305
1/1/06,10.5,39.15,13.4,23.2,22,34.03,10264.63167
1/1/06,11,40,13.2,23.4,21,43.63,10463.60333
1/1/06,11.5,40.7,13.15,23.6,20,45.6,10647.80833
1/1/06,12,41.4,13.1,23.8,19,47.21,10682.93667
1/1/06,12.5,42.05,12.85,23.9,18,68.11,10787.545
1/1/06,13,42.7,12.6,24,17,99.57,10842.33167
1/1/06,13.5,43.05,12.45,24.05,16.5,153.18,10907.03
1/1/06,14,43.4,12.3,24.1,16,100.75,10859.58833
1/1/06,14.5,43.6,12.4,24.2,16,103.6,10903.85167
1/1/06,15,43.8,12.5,24.3,16,103.65,10900.735
1/1/06,15.5,43.8,11.9,24.1,15.5,104.24,10952.31
1/1/06,16,43.8,11.3,23.9,15,104.36,10948.03167
1/1/06,16.5,43.5,11.85,24,15.5,104.25,10904.45333
